Make,Model,Model Year,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Clear,Snow,Cloudy,Fog/Smoke,Rain,Severe Wind,Injuries,Passengers Belted
Chevrolet,Bolt,2020,August 2021,12:58,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Cruise,AV,2023,June 2024,04:55,Phoenix,AZ ,Street,Dry,No Unusual Conditions,35.0,Dawn / Dusk,1,0,0,0,0,0,1,1
Volkswagen,ID.Buzz,2023,June 2024,12:54,Austin,TX ,Street,Dry,No Unusual Conditions,35.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,July 2024,20:43,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dawn / Dusk,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2024,June 2024,21:24,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,20.0,Dark - Lighted,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,July 2024,12:59,San Francisco,CA ,Parking Lot,Dry,No Unusual Conditions,5.0,Daylight,1,0,0,0,0,0,1,0
Jaguar,I-Pace,2021,June 2024,00:21,Phoenix,AZ ,Intersection,Dry,No Unusual Conditions,40.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,June 2024,21:24,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,20.0,Dark - Lighted,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,June 2024,07:12,Phoenix,AZ ,Street,Dry,No Unusual Conditions,40.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,June 2024,00:33,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,0,0
Toyota,Prius,2022,June 2024,17:10,Houston,TX ,Intersection,Dry,No Unusual Conditions,30.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,June 2024,18:34,Tempe,AZ ,Intersection,Dry,No Unusual Conditions,45.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,23:16,San Francisco,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Dark - Not Lighted,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,11:45,San Francisco,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2024,June 2024,12:58,Scottsdale,AZ ,Intersection,Dry,No Unusual Conditions,35.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,June 2024,23:31,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,1,1
Jaguar,I-Pace,2024,June 2024,01:21,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Dark - Lighted,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2021,May 2024,14:56,Phoenix,AZ ,Intersection,Dry,No Unusual Conditions,40.0,Daylight,1,0,0,0,0,0,1,0
Jaguar,I-Pace,2021,May 2024,18:11,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,May 2024,21:08,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,May 2024,22:54,Los Angeles,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,May 2024,11:02,Tempe,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,May 2024,23:09,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2021,May 2024,10:41,Tempe,AZ ,Street,Dry,No Unusual Conditions,30.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,May 2024,11:18,Tempe,AZ ,Intersection,Dry,No Unusual Conditions,40.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,14:49,Phoenix,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,0,0,1,0,0,0,0,0
Jaguar,I-Pace,2021,May 2024,21:13,Phoenix,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Dark - Lighted,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,May 2024,08:33,Phoenix,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,21:11,Los Angeles,CA ,Street,Dry,No Unusual Conditions,35.0,Dark - Lighted,0,0,1,0,0,0,0,0
Jaguar,I-Pace,2024,May 2024,11:45,San Francisco,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,21:11,Los Angeles,CA ,Street,Dry,No Unusual Conditions,35.0,Dark - Lighted,0,0,1,0,0,0,0,0
Jaguar,I-Pace,2021,May 2024,13:09,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Daylight,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2021,May 2024,11:02,Tempe,AZ ,Intersection,Dry,No Unusual Conditions,45.0,Daylight,1,0,0,0,0,0,1,1
Jaguar,I-Pace,2021,May 2024,21:04,Tempe,AZ ,Street,Dry,No Unusual Conditions,40.0,Dark - Lighted,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,00:23,Los Angeles,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,23:16,San Francisco,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Dark - Not Lighted,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,08:25,Tempe,AZ ,Parking Lot,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,May 2024,22:36,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,May 2024,18:23,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Nissan,Leaf,2023,June 2024,10:33,San Jose,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Volkswagen,ID.Buzz,2023,May 2024,14:23,Austin,TX ,Parking Lot,Dry,No Unusual Conditions,,Daylight,0,0,0,0,0,0,0,1
Peterbilt,579,2024,June 2024,13:19,SPRING,TX ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,0,0,1,0,0,0,0,1
Peterbilt,579,2024,May 2024,03:09,Rice,TX ,Highway / Freeway,Dry,No Unusual Conditions,75.0,Dark - Lighted,0,0,1,0,0,0,0,1
Toyota,Prius,2022,May 2024,12:04,Houston,TX ,Intersection,Dry,No Unusual Conditions,30.0,Daylight,1,0,0,0,0,0,0,1
Peterbilt,579,2024,June 2024,13:19,SPRING,TX ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,0,0,1,0,0,0,0,1
Peterbilt,579,2024,May 2024,03:09,RICE,TX ,Highway / Freeway,Dry,No Unusual Conditions,75.0,Dark - Lighted,0,0,1,0,0,0,0,1
Lincoln,MKZ,2019,May 2024,15:25,Fremont,CA ,Street,Dry,No Unusual Conditions,35.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,June 2024,18:00,Phoenix,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,June 2024,12:41,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2021,May 2024,15:34,Phoenix,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,1,0,0,0,0,0,0,1
Toyota,Sienna,2022,May 2024,17:05,Miami,FL ,Street,Dry,No Unusual Conditions,35.0,Daylight,1,0,0,0,0,0,0,1
Cruise,AV,2023,June 2024,04:55,Phoenix,AZ ,Street,Dry,No Unusual Conditions,35.0,Dawn / Dusk,1,0,0,0,0,0,1,1
Cruise,AV,2023,June 2024,04:55,Phoenix,AZ ,Street,Dry,No Unusual Conditions,35.0,Dawn / Dusk,1,0,0,0,0,0,1,1
Jaguar,I-Pace,2024,June 2024,01:21,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Dark - Lighted,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2024,June 2024,12:58,Scottsdale,AZ ,Intersection,Dry,No Unusual Conditions,35.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,June 2024,18:26,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,0
Zoox,sedan,2023,May 2024,16:02,Foster City,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,14:13,San Francisco,CA ,Parking Lot,Dry,No Unusual Conditions,10.0,Daylight,1,0,0,0,0,0,0,0
KIA,SPORTAGE,2023,April 2024,02:50,ST. CLAIR TOWNSHIP,MI ,Street,Dry,Unknown,55.0,Dark - Not Lighted,1,0,0,0,0,0,1,1
Jaguar,I-Pace,2021,May 2024,22:37,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,1,1
KIA,SPORTAGE,2023,April 2024,02:50,ST. CLAIR TOWNSHIP,MI ,Street,Dry,Unknown,55.0,Dark - Not Lighted,1,0,0,0,0,0,1,1
Jaguar,I-Pace,2024,May 2024,14:13,San Francisco,CA ,Parking Lot,Dry,No Unusual Conditions,10.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,May 2024,11:47,Phoenix,AZ ,Street,Dry,No Unusual Conditions,15.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,May 2024,03:02,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,May 2024,00:58,Los Angeles,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Dark - Not Lighted,0,0,1,0,0,0,1,1
Toyota,Prius,2022,May 2024,15:45,Palo Alto,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,March 2024,07:18,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,0,0,1,0,0,0,1,0
Jaguar,I-Pace,2021,May 2024,12:47,Scottsdale,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,16:12,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,20.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,May 2024,21:34,Phoenix,AZ ,Intersection,Dry,No Unusual Conditions,40.0,Dark - Lighted,1,0,0,0,0,0,1,1
Jaguar,I-Pace,2021,May 2024,11:02,Tempe,AZ ,Intersection,Dry,No Unusual Conditions,45.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,April 2024,10:14,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,May 2024,12:47,Scottsdale,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,April 2024,23:07,Santa Monica,CA ,Parking Lot,Dry,No Unusual Conditions,15.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,April 2024,13:59,San Francisco,CA ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2024,April 2024,18:01,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,20.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,April 2024,10:14,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,April 2024,19:08,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,20.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,April 2024,20:35,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Dark - Lighted,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,April 2024,12:26,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,April 2024,14:11,San Francisco,CA ,Street,Dry,No Unusual Conditions,15.0,Daylight,0,0,1,0,0,0,1,1
Jaguar,I-Pace,2021,April 2024,15:05,Chandler,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,April 2024,06:49,Phoenix,AZ ,Intersection,Dry,No Unusual Conditions,35.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,May 2024,12:26,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,May 2024,06:42,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,0
Toyota,Sienna,2022,April 2024,11:35,Miami,FL ,Intersection,Dry,"Other, see Narrative",30.0,Daylight,1,0,0,0,0,0,0,1
Peterbilt,579,2024,April 2024,10:56,Conroe,TX ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,0,0,1,0,0,0,0,1
Volkswagen,ID.Buzz,2023,April 2024,10:20,Austin,TX ,Street,Wet,No Unusual Conditions,35.0,Daylight,0,0,0,0,1,0,0,1
Jaguar,I-Pace,2021,May 2024,00:58,Los Angeles,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Dark - Not Lighted,0,0,1,0,0,0,1,1
Peterbilt,Peterbilt 579,2024,April 2024,10:56,Conroe,TX ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2021,May 2024,00:58,Los Angeles,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Dark - Not Lighted,0,0,1,0,0,0,1,1
Toyota,Highlander,2017,April 2024,13:49,Las Vegas,NV ,Intersection,Dry,No Unusual Conditions,45.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,May 2024,09:06,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,May 2024,16:12,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,20.0,Daylight,1,0,0,0,0,0,0,0
Toyota,Highlander,2019,April 2024,12:51,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,1,1
Jaguar,I-Pace,2021,May 2024,14:56,Phoenix,AZ ,Intersection,Dry,No Unusual Conditions,40.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,May 2024,19:44,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dawn / Dusk,1,0,0,0,0,0,0,1
Toyota,Highlander,2019,April 2024,16:54,Spring Valley,NV ,Street,Dry,No Unusual Conditions,45.0,Daylight,1,0,0,0,0,0,1,1
Jaguar,I-Pace,2021,January 2023,17:08,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,35.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,January 2024,12:04,Los Angeles,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,February 2024,06:43,Tempe,AZ ,Street,Dry,No Unusual Conditions,35.0,Daylight,1,0,0,0,0,0,1,1
Toyota,Highlander,2019,April 2024,12:51,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,1,1
Toyota,Highlander,2019,April 2024,16:54,Spring Valley,NV ,Street,Dry,No Unusual Conditions,45.0,Daylight,1,0,0,0,0,0,1,1
Jaguar,I-Pace,2021,April 2024,01:43,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,April 2024,15:35,San Francisco,CA ,Street,Dry,No Unusual Conditions,35.0,Daylight,0,0,1,0,0,0,0,1
Peterbilt,579,2023,March 2024,13:52,Barstow,TX ,Highway / Freeway,Dry,No Unusual Conditions,75.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,March 2024,10:03,Austin,TX ,Intersection,Dry,No Unusual Conditions,30.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,March 2024,15:12,San Francisco,CA ,Street,Wet,No Unusual Conditions,30.0,Daylight,0,0,0,0,1,0,0,1
Jaguar,I-Pace,2021,March 2024,07:30,Los Angeles,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,March 2024,15:12,San Francisco,CA ,Street,Wet,No Unusual Conditions,30.0,Daylight,0,0,0,0,1,0,0,1
Jaguar,I-Pace,2021,March 2024,21:16,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,March 2024,12:06,Los Angeles,CA ,Street,Dry,No Unusual Conditions,30.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,March 2024,10:03,Austin,TX ,Intersection,Dry,No Unusual Conditions,30.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,March 2024,14:42,Los Angeles,CA ,Intersection,Dry,No Unusual Conditions,30.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,March 2024,18:01,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,March 2024,21:49,Tempe,AZ ,Street,Dry,No Unusual Conditions,30.0,Dark - Lighted,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,March 2024,19:45,Phoenix,AZ ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,March 2024,20:58,Mesa,AZ ,Intersection,Dry,No Unusual Conditions,40.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,March 2024,16:52,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,March 2024,00:40,San Francisco,CA ,Street,Wet,No Unusual Conditions,25.0,Dark - Lighted,0,0,1,0,0,0,0,0
Jaguar,I-Pace,2021,March 2024,07:30,Los Angeles,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,March 2024,21:42,Chandler,AZ ,Street,Dry,Work Zone,45.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,March 2024,15:32,Phoenix,AZ ,Intersection,Dry,No Unusual Conditions,30.0,Daylight,0,0,1,0,0,0,1,1
Jaguar,I-Pace,2021,March 2024,02:08,Tempe,AZ ,Street,Wet,No Unusual Conditions,35.0,Dark - Lighted,0,0,0,0,1,0,0,0
Jaguar,I-Pace,2024,March 2024,20:00,San Francisco,CA ,Intersection,Wet,No Unusual Conditions,10.0,Dark - Lighted,0,0,0,0,1,0,0,0
Jaguar,I-Pace,2024,March 2024,13:13,Tempe,AZ ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2021,March 2024,23:15,Chandler,AZ ,Intersection,Dry,No Unusual Conditions,45.0,Dark - Lighted,1,0,0,0,0,0,0,0
Peterbilt,579,2023,March 2024,13:52,Barstow,TX ,Highway / Freeway,Dry,No Unusual Conditions,75.0,Daylight,1,0,0,0,0,0,0,1
Toyota,Prius,2022,March 2024,20:20,Mountain View,CA ,Street,Dry,No Unusual Conditions,25.0,Dawn / Dusk,1,0,0,0,0,0,0,1
Toyota,Highlander,2017,March 2024,14:45,Paradise,NV ,Street,Dry,No Unusual Conditions,45.0,Daylight,1,0,0,0,0,0,0,1
Toyota,Highlander,2019,March 2024,09:44,Las Vegas,NV ,Street,Wet,No Unusual Conditions,45.0,Daylight,1,0,0,0,0,0,1,1
Jaguar,I-Pace,2024,April 2024,06:59,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,0,0,1,0,0,0,0,0
Jaguar,I-Pace,2021,March 2024,15:07,Scottsdale,AZ ,Street,Dry,No Unusual Conditions,35.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2021,March 2024,01:33,San Francisco,CA ,Street,Wet,No Unusual Conditions,25.0,Dark - Lighted,0,0,0,0,1,0,0,0
Jaguar,I-Pace,2021,March 2024,16:25,Phoenix,AZ ,Intersection,Dry,No Unusual Conditions,40.0,Daylight,1,0,0,0,0,0,1,1
